Site,Repo,NTP Servers
CHDCNC (NCE/SRDC L-Charter),98.8.131.68,"71.10.216.7,71.10.216.8"
NCE/SRDC IASS,98.8.131.68,"71.10.216.7,71.10.216.8"
PVDCCO (NCW/SRDC L-Charter,98.8.163.68,"71.10.216.7,71.10.216.8"
NCW/SRDC IASS,98.8.163.68,"71.10.216.7,71.10.216.8"
SLDCMO (St. Louis L-Charter),98.9.232.142,"71.10.216.7,71.10.216.8"
LADCCA (LA L-Charter),98.9.88.142,"71.10.216.7,71.10.216.8"
BHDCAL (Birmingham L-Charter),98.8.232.68,"71.10.216.7,71.10.216.8"
BODCMA (Boston L-Charter),98.9.24.142,"71.10.216.7,71.10.216.8"
DLDCTX (Dallas L-Charter),98.9.41.142,"71.10.216.7,71.10.216.8"
EDPRMN (Eden Prairie L-Charter),98.9.56.68,"71.10.216.7,71.10.216.8"
KNWDMI (Kentwood L-Charter),98.9.72.68,"71.10.216.7,71.10.216.8"
MDDCWI (Madison L-Charter),98.9.120.68,"71.10.216.7,71.10.216.8"
NVDCTN (Nashville L-Charter),98.9.136.68,"71.10.216.7,71.10.216.8"
PLDCOR (Portland L-Charter),98.9.193.142,"71.10.216.7,71.10.216.8"
SLDCLA (Slidell L-Charter),98.9.184.68,"71.10.216.7,71.10.216.8"
SPDCSC (Spartanburg L-Charter),98.9.216.68,"71.10.216.7,71.10.216.8"
TPDCFL (Tampa L-Charter),98.8.195.58,"71.10.216.7,71.10.216.8"
SYDCNY (Syracuse L-Charter),69.205.123.142,"71.10.216.7,71.10.216.8"
NYCMNY (NYC L-Charter),98.12.200.68,"71.10.216.7,71.10.216.8"
CLMBOH (Columbus L-Charter),107.8.251.142,"71.10.216.7,71.10.216.8"
AUSTX (L-TWC),72.183.88.6,"24.174.41.6"
CDPTPA (L-TWC),68.168.64.6,"71.10.216.7,71.10.216.8"
CHRCNC (NCE/L-TWC),69.134.48.6,"71.10.216.7,71.10.216.8"
CLBOH (Columbus L-TWC),174.103.48.6,"65.189.142.254"
NCW POD1 (Peaview RDC L-TWC),69.76.72.6,"71.10.216.7,71.10.216.8"
NCW POD2 (L-TWC),98.15.2.6,"71.10.216.7,71.10.216.8"
NCW POD3 (NCW/L-TWC),69.134.188.6,"71.10.216.7,71.10.216.8"
NYCMNY (L-TWC),72.229.200.6,"24.29.96.190"
RLGHNC (L-TWC),24.27.244.6,"66.26.52.46"
SYRNY (L-TWC),24.58.108.6,"24.92.224.50"
MILNHI (Hawaii L-TWC),50.113.197.41,"24.93.61.3,24.93.61.4"
